MatchNumber,DateUTC,Stage,StageDetail,Group,Home,Away,HostAdvantage,HomeTeamScore,AwayTeamScore,Played,PlaceHolderA,PlaceHolderB,Winner
47,2026-06-23T17:00:00Z,Group,First Stage,Group K,Portugal,Uzbekistan,0,5.0,0.0,True,K1,K3,43963
48,2026-06-24T02:00:00Z,Group,First Stage,Group K,Colombia,DR Congo,0,1.0,0.0,True,K4,K2,43926
49,2026-06-24T22:00:00Z,Group,First Stage,Group C,Scotland,Brazil,0,0.0,3.0,True,C4,C1,43924
50,2026-06-24T22:00:00Z,Group,First Stage,Group C,Morocco,Haiti,0,4.0,2.0,True,C2,C3,43872
51,2026-06-24T19:00:00Z,Group,First Stage,Group B,Switzerland,Canada,-1,2.0,1.0,True,B4,B1,43971
52,2026-06-24T19:00:00Z,Group,First Stage,Group B,Bosnia and Herzegovina,Qatar,0,3.0,1.0,True,B2,B3,44037
53,2026-06-25T01:00:00Z,Group,First Stage,Group A,Czechia,Mexico,-1,0.0,3.0,True,A4,A1,43911
54,2026-06-25T01:00:00Z,Group,First Stage,Group A,South Africa,South Korea,0,1.0,0.0,True,A2,A3,43883
55,2026-06-25T20:00:00Z,Group,First Stage,Group E,Curaçao,Ivory Coast,0,0.0,2.0,True,E2,E3,43854
56,2026-06-25T20:00:00Z,Group,First Stage,Group E,Ecuador,Germany,0,2.0,1.0,True,E4,E1,43927
57,2026-06-25T23:00:00Z,Group,First Stage,Group F,Japan,Sweden,0,1.0,1.0,True,F2,F3,
58,2026-06-25T23:00:00Z,Group,First Stage,Group F,Tunisia,Netherlands,0,1.0,3.0,True,F4,F1,43960
59,2026-06-26T02:00:00Z,Group,First Stage,Group D,Turkey,USA,-1,3.0,2.0,True,D4,D1,43972
60,2026-06-26T02:00:00Z,Group,First Stage,Group D,Paraguay,Australia,0,0.0,0.0,True,D2,D3,
61,2026-06-26T19:00:00Z,Group,First Stage,Group I,Norway,France,0,1.0,4.0,True,I4,I1,43946
